          200   NumCoords         ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.25        0
! coordinates of airfoil shape; data from TU Delft as posted here: https://wind.nrel.gov/forum/wind/viewtopic.php?f=2&t=440
! NACA 64-618 (interpolated to 399 points)
!  x/c        y/c
  1.000000   0.000940
  0.999443   0.001031
  0.998120   0.001246
  0.995694   0.001644
  0.992305   0.002203
  0.988028   0.002914
  0.982815   0.003789
  0.976664   0.004833
  0.969641   0.006038
  0.961743   0.007408
  0.952973   0.008945
  0.943389   0.010640
  0.933013   0.012524
  0.921851   0.014572
  0.909955   0.016797
  0.897361   0.019180
  0.884085   0.021743
  0.870163   0.024455
  0.855653   0.027350
  0.840577   0.030383
  0.824975   0.033558
  0.808895   0.036877
  0.792362   0.040346
  0.775421   0.043947
  0.758125   0.047663
  0.740502   0.051486
  0.722592   0.055408
  0.704445   0.059358
  0.686088   0.063388
  0.667570   0.067400
  0.648927   0.071430
  0.630186   0.075418
  0.611401   0.079381
  0.592597   0.083220
  0.573808   0.086949
  0.555076   0.090537
  0.536418   0.093994
  0.517880   0.097297
  0.499481   0.100366
  0.481252   0.103312
  0.463222   0.106071
  0.445407   0.108533
  0.427843   0.110806
  0.410539   0.112735
  0.393525   0.114468
  0.376811   0.115904
  0.360420   0.117029
  0.344365   0.117833
  0.328658   0.118381
  0.313319   0.118530
  0.298348   0.118416
  0.283766   0.117890
  0.269567   0.117126
  0.255774   0.116104
  0.242378   0.114821
  0.229396   0.113251
  0.216817   0.111409
  0.204658   0.109435
  0.192908   0.107287
  0.181575   0.104960
  0.170658   0.102465
  0.160149   0.099935
  0.150055   0.097204
  0.140355   0.094413
  0.131068   0.091569
  0.122161   0.088633
  0.113659   0.085645
  0.105536   0.082602
  0.097791   0.079541
  0.090429   0.076474
  0.083416   0.073383
  0.076774   0.070292
  0.070469   0.067199
  0.064500   0.064114
  0.058882   0.061060
  0.053568   0.058025
  0.048576   0.055034
  0.043898   0.052079
  0.039495   0.049149
  0.035395   0.046271
  0.031576   0.043449
  0.028006   0.040662
  0.024716   0.037958
  0.021681   0.035308
  0.018863   0.032692
  0.016295   0.030158
  0.013966   0.027684
  0.011818   0.025257
  0.009884   0.022918
  0.008184   0.020654
  0.006631   0.018390
  0.005249   0.016327
  0.004083   0.014336
  0.003090   0.012279
  0.002191   0.010002
  0.001460   0.007101
  0.000963   0.004622
  0.000599   0.002760
  0.000290   0.001263
  0.000078   0.000323
  0.000000   0.000000
  0.000078  -0.000317
  0.000290  -0.001195
  0.000599  -0.002500
  0.000964  -0.004040
  0.001463  -0.006058
  0.002197  -0.008611
  0.003099  -0.010647
  0.004095  -0.012300
  0.005268  -0.013889
  0.006658  -0.015424
  0.008219  -0.016913
  0.009931  -0.018543
  0.011880  -0.020297
  0.014045  -0.022061
  0.016392  -0.023835
  0.018985  -0.025713
  0.021829  -0.027644
  0.024893  -0.029602
  0.028220  -0.031630
  0.031829  -0.033710
  0.035690  -0.035826
  0.039842  -0.037993
  0.044300  -0.040207
  0.049038  -0.042453
  0.054100  -0.044738
  0.059487  -0.047051
  0.065188  -0.049389
  0.071248  -0.051769
  0.077646  -0.054171
  0.084397  -0.056588
  0.091523  -0.059015
  0.099007  -0.061440
  0.106887  -0.063866
  0.115148  -0.066273
  0.123806  -0.068648
  0.132872  -0.070998
  0.142332  -0.073294
  0.152215  -0.075545
  0.162499  -0.077734
  0.173214  -0.079826
  0.184341  -0.081825
  0.195903  -0.083709
  0.207883  -0.085448
  0.220294  -0.087035
  0.233123  -0.088466
  0.246375  -0.089717
  0.260041  -0.090753
  0.274124  -0.091577
  0.288611  -0.092161
  0.303500  -0.092458
  0.318774  -0.092474
  0.334434  -0.092163
  0.350457  -0.091493
  0.366843  -0.090468
  0.383561  -0.089039
  0.400610  -0.087207
  0.417956  -0.084960
  0.435593  -0.082262
  0.453493  -0.079111
  0.471632  -0.075502
  0.489992  -0.071475
  0.508536  -0.067052
  0.527249  -0.062340
  0.546089  -0.057432
  0.565031  -0.052357
  0.584045  -0.047189
  0.603088  -0.041968
  0.622138  -0.036815
  0.641148  -0.031776
  0.660080  -0.026925
  0.678906  -0.022307
  0.697572  -0.017980
  0.716045  -0.013981
  0.734291  -0.010324
  0.752252  -0.007037
  0.769898  -0.004116
  0.787192  -0.001557
  0.804074   0.000593
  0.820513   0.002356
  0.836469   0.003755
  0.851890   0.004815
  0.866748   0.005534
  0.881010   0.005958
  0.894610   0.006099
  0.907525   0.005997
  0.919730   0.005657
  0.931175   0.005135
  0.941828   0.004472
  0.951675   0.003774
  0.960675   0.003099
  0.968787   0.002458
  0.976012   0.001857
  0.982331   0.001306
  0.987686   0.000820
  0.992086   0.000407
  0.995574   0.000070
  0.998063  -0.000176
  0.999430  -0.000313
  1.000000  -0.000370
