            200   NumCoords         ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.25        0
! coordinates of airfoil shape; data from TU Delft as posted here: https://wind.nrel.gov/forum/wind/viewtopic.php?f=2&t=440
! NACA 64-618 (interpolated to 399 points)
!  x/c        y/c
  1.000000   0.004250
  0.999443   0.004362
  0.998120   0.004628
  0.995694   0.005117
  0.992305   0.005800
  0.988028   0.006661
  0.982815   0.007713
  0.976664   0.008954
  0.969641   0.010373
  0.961743   0.011969
  0.952973   0.013742
  0.943389   0.015682
  0.933013   0.017786
  0.921851   0.020069
  0.909955   0.022517
  0.897361   0.025138
  0.884085   0.027909
  0.870163   0.030849
  0.855653   0.033936
  0.840577   0.037164
  0.824975   0.040529
  0.808895   0.044010
  0.792362   0.047617
  0.775421   0.051327
  0.758125   0.055123
  0.740502   0.058994
  0.722592   0.062934
  0.704445   0.066901
  0.686088   0.070883
  0.667570   0.074867
  0.648927   0.078835
  0.630186   0.082754
  0.611401   0.086614
  0.592597   0.090373
  0.573808   0.094025
  0.555076   0.097549
  0.536418   0.100926
  0.517880   0.104147
  0.499481   0.107193
  0.481252   0.110062
  0.463222   0.112712
  0.445407   0.115147
  0.427843   0.117353
  0.410539   0.119317
  0.393525   0.121026
  0.376811   0.122488
  0.360420   0.123679
  0.344365   0.124602
  0.328658   0.125239
  0.313319   0.125605
  0.298348   0.125674
  0.283766   0.125465
  0.269567   0.124990
  0.255774   0.124236
  0.242378   0.123239
  0.229396   0.122002
  0.216817   0.120538
  0.204658   0.118867
  0.192908   0.116993
  0.181575   0.114930
  0.170658   0.112693
  0.160149   0.110298
  0.150055   0.107768
  0.140355   0.105108
  0.131068   0.102331
  0.122161   0.099450
  0.113659   0.096490
  0.105536   0.093459
  0.097791   0.090364
  0.090429   0.087222
  0.083416   0.084034
  0.076774   0.080827
  0.070469   0.077594
  0.064500   0.074348
  0.058882   0.071110
  0.053568   0.067873
  0.048576   0.064653
  0.043898   0.061454
  0.039495   0.058260
  0.035395   0.055109
  0.031576   0.051996
  0.028006   0.048918
  0.024716   0.045891
  0.021681   0.042896
  0.018863   0.039919
  0.016295   0.037002
  0.013966   0.034185
  0.011818   0.031372
  0.009884   0.028611
  0.008184   0.026038
  0.006631   0.023429
  0.005249   0.020761
  0.004083   0.018305
  0.003090   0.015951
  0.002191   0.013271
  0.001460   0.010499
  0.000963   0.007462
  0.000599   0.004537
  0.000290   0.002045
  0.000078   0.000507
  0.000000   0.000000
  0.000078  -0.000490
  0.000290  -0.001841
  0.000599  -0.003818
  0.000964  -0.006057
  0.001463  -0.008706
  0.002197  -0.011229
  0.003099  -0.013422
  0.004095  -0.015344
  0.005268  -0.017167
  0.006658  -0.019096
  0.008219  -0.021307
  0.009931  -0.023514
  0.011880  -0.025799
  0.014045  -0.028160
  0.016392  -0.030540
  0.018985  -0.032969
  0.021829  -0.035491
  0.024893  -0.038075
  0.028220  -0.040726
  0.031829  -0.043460
  0.035690  -0.046232
  0.039842  -0.049070
  0.044300  -0.051970
  0.049038  -0.054909
  0.054100  -0.057904
  0.059487  -0.060950
  0.065188  -0.064025
  0.071248  -0.067128
  0.077646  -0.070244
  0.084397  -0.073370
  0.091523  -0.076491
  0.099007  -0.079596
  0.106887  -0.082683
  0.115148  -0.085719
  0.123806  -0.088705
  0.132872  -0.091617
  0.142332  -0.094438
  0.152215  -0.097166
  0.162499  -0.099770
  0.173214  -0.102239
  0.184341  -0.104545
  0.195903  -0.106689
  0.207883  -0.108630
  0.220294  -0.110373
  0.233123  -0.111878
  0.246375  -0.113141
  0.260041  -0.114149
  0.274124  -0.114866
  0.288611  -0.115297
  0.303500  -0.115380
  0.318774  -0.115133
  0.334434  -0.114506
  0.350457  -0.113498
  0.366843  -0.112081
  0.383561  -0.110234
  0.400610  -0.107933
  0.417956  -0.105193
  0.435593  -0.101976
  0.453493  -0.098298
  0.471632  -0.094141
  0.489992  -0.089522
  0.508536  -0.084473
  0.527249  -0.079057
  0.546089  -0.073310
  0.565031  -0.067300
  0.584045  -0.061093
  0.603088  -0.054771
  0.622138  -0.048425
  0.641148  -0.042138
  0.660080  -0.036008
  0.678906  -0.030127
  0.697572  -0.024575
  0.716045  -0.019421
  0.734291  -0.014701
  0.752252  -0.010454
  0.769898  -0.006734
  0.787192  -0.003558
  0.804074  -0.000934
  0.820513   0.001179
  0.836469   0.002846
  0.851890   0.004094
  0.866748   0.004952
  0.881010   0.005465
  0.894610   0.005620
  0.907525   0.005477
  0.919730   0.005047
  0.931175   0.004404
  0.941828   0.003609
  0.951675   0.002708
  0.960675   0.001803
  0.968787   0.000913
  0.976012   0.000057
  0.982331  -0.000743
  0.987686  -0.001461
  0.992086  -0.002080
  0.995574  -0.002589
  0.998063  -0.002963
  0.999430  -0.003172
  1.000000  -0.003260
