            200   NumCoords         ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.25        0
! coordinates of airfoil shape; data from TU Delft as posted here: https://wind.nrel.gov/forum/wind/viewtopic.php?f=2&t=440
! NACA 64-618 (interpolated to 399 points)
!  x/c        y/c
  1.000000   0.006520
  0.991850   0.008310
  0.983710   0.010100
  0.975560   0.011880
  0.967420   0.013660
  0.959280   0.015440
  0.951140   0.017210
  0.943010   0.018980
  0.934880   0.020760
  0.926750   0.022550
  0.918630   0.024350
  0.910520   0.026170
  0.902410   0.027990
  0.894300   0.029820
  0.886200   0.031660
  0.878100   0.033500
  0.870010   0.035350
  0.861920   0.037210
  0.853840   0.039070
  0.845760   0.040940
  0.837680   0.042810
  0.829600   0.044680
  0.821530   0.046550
  0.813460   0.048430
  0.805390   0.050310
  0.797320   0.052190
  0.789260   0.054070
  0.781200   0.055940
  0.773140   0.057820
  0.765080   0.059690
  0.757020   0.061570
  0.748970   0.063430
  0.740910   0.065300
  0.732850   0.067160
  0.724800   0.069010
  0.716750   0.070860
  0.708690   0.072700
  0.700640   0.074530
  0.692580   0.076360
  0.684520   0.078170
  0.676470   0.079970
  0.668410   0.081760
  0.660350   0.083550
  0.652290   0.085310
  0.644220   0.087070
  0.636160   0.088810
  0.628090   0.090540
  0.620020   0.092250
  0.611950   0.093950
  0.603870   0.095620
  0.595800   0.097290
  0.587720   0.098930
  0.579630   0.100550
  0.571540   0.102150
  0.563450   0.103730
  0.555360   0.105290
  0.547260   0.106830
  0.539160   0.108340
  0.531050   0.109830
  0.522940   0.111290
  0.514820   0.112720
  0.506700   0.114130
  0.498580   0.115510
  0.490450   0.116860
  0.482310   0.118170
  0.474170   0.119460
  0.466030   0.120700
  0.457870   0.121910
  0.449720   0.123070
  0.441550   0.124200
  0.433380   0.125290
  0.425210   0.126330
  0.417020   0.127330
  0.408840   0.128280
