              200   NumCoords         ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.25        0
! coordinates of airfoil shape; data from TU Delft as posted here: https://wind.nrel.gov/forum/wind/viewtopic.php?f=2&t=440
! NACA 64-618 (interpolated to 399 points)
!  x/c        y/c
  1.000000   0.009100
  0.999443   0.009200
  0.998120   0.009500
  0.995694   0.010191
  0.992305   0.010987
  0.988028   0.011993
  0.982815   0.013220
  0.976664   0.014669
  0.969641   0.016325
  0.961743   0.018189
  0.952973   0.020262
  0.943389   0.022529
  0.933013   0.024989
  0.921851   0.027656
  0.909955   0.030536
  0.897361   0.033613
  0.884085   0.036882
  0.870163   0.040328
  0.855653   0.043942
  0.840577   0.047719
  0.824975   0.051634
  0.808895   0.055681
  0.792362   0.059826
  0.775421   0.064066
  0.758125   0.068384
  0.740502   0.072757
  0.722592   0.077169
  0.704445   0.081593
  0.686088   0.086000
  0.667570   0.090393
  0.648927   0.094736
  0.630186   0.099018
  0.611401   0.103229
  0.592597   0.107342
  0.573808   0.111352
  0.555076   0.115235
  0.536418   0.118971
  0.517880   0.122565
  0.499481   0.125998
  0.481252   0.129230
  0.463222   0.132262
  0.445407   0.135059
  0.427843   0.137626
  0.410539   0.139950
  0.393525   0.142029
  0.376811   0.143831
  0.360420   0.145374
  0.344365   0.146641
  0.328658   0.147629
  0.313319   0.148345
  0.298348   0.148783
  0.283766   0.148918
  0.269567   0.148782
  0.255774   0.148351
  0.242378   0.147639
  0.229396   0.146656
  0.216817   0.145408
  0.204658   0.143894
  0.192908   0.142118
  0.181575   0.140099
  0.170658   0.137841
  0.160149   0.135360
  0.150055   0.132676
  0.140355   0.129806
  0.131068   0.126763
  0.122161   0.123565
  0.113659   0.120227
  0.105536   0.116770
  0.097791   0.113195
  0.090429   0.109531
  0.083416   0.105788
  0.076774   0.101981
  0.070469   0.098121
  0.064500   0.094223
  0.058882   0.090316
  0.053568   0.086375
  0.048576   0.082428
  0.043898   0.078495
  0.039495   0.074555
  0.035395   0.070655
  0.031576   0.066783
  0.028006   0.062927
  0.024716   0.059123
  0.021681   0.055364
  0.018863   0.051615
  0.016295   0.047935
  0.013966   0.044343
  0.011818   0.040736
  0.009884   0.037230
  0.008184   0.033847
  0.006631   0.030417
  0.005249   0.027079
  0.004083   0.023859
  0.003090   0.020692
  0.002191   0.017626
  0.001460   0.014402
  0.000963   0.011485
  0.000599   0.008159
  0.000290   0.003934
  0.000078   0.000990
  0.000000   0.000000
  0.000078  -0.000982
  0.000290  -0.003843
  0.000599  -0.007909
  0.000964  -0.011194
  0.001463  -0.013959
  0.002197  -0.017027
  0.003099  -0.019863
  0.004095  -0.022777
  0.005268  -0.025854
  0.006658  -0.029027
  0.008219  -0.032254
  0.009931  -0.035475
  0.011880  -0.038798
  0.014045  -0.042224
  0.016392  -0.045662
  0.018985  -0.049187
  0.021829  -0.052812
  0.024893  -0.056457
  0.028220  -0.060182
  0.031829  -0.063977
  0.035690  -0.067814
  0.039842  -0.071712
  0.044300  -0.075671
  0.049038  -0.079648
  0.054100  -0.083659
  0.059487  -0.087691
  0.065188  -0.091728
  0.071248  -0.095775
  0.077646  -0.099800
  0.084397  -0.103804
  0.091523  -0.107768
  0.099007  -0.111669
  0.106887  -0.115509
  0.115148  -0.119250
  0.123806  -0.122883
  0.132872  -0.126397
  0.142332  -0.129759
  0.152215  -0.132959
  0.162499  -0.135981
  0.173214  -0.138801
  0.184341  -0.141392
  0.195903  -0.143751
  0.207883  -0.145852
  0.220294  -0.147679
  0.233123  -0.149218
  0.246375  -0.150443
  0.260041  -0.151337
  0.274124  -0.151899
  0.288611  -0.152079
  0.303500  -0.151883
  0.318774  -0.151278
  0.334434  -0.150265
  0.350457  -0.148808
  0.366843  -0.146898
  0.383561  -0.144511
  0.400610  -0.141652
  0.417956  -0.138295
  0.435593  -0.134441
  0.453493  -0.130096
  0.471632  -0.125256
  0.489992  -0.119926
  0.508536  -0.114135
  0.527249  -0.107918
  0.546089  -0.101320
  0.565031  -0.094380
  0.584045  -0.087180
  0.603088  -0.079795
  0.622138  -0.072304
  0.641148  -0.064818
  0.660080  -0.057433
  0.678906  -0.050235
  0.697572  -0.043331
  0.716045  -0.036803
  0.734291  -0.030720
  0.752252  -0.025123
  0.769898  -0.020046
  0.787192  -0.015560
  0.804074  -0.011700
  0.820513  -0.008409
  0.836469  -0.005670
  0.851890  -0.003467
  0.866748  -0.001773
  0.881010  -0.000570
  0.894610   0.000164
  0.907525   0.000452
  0.919730   0.000407
  0.931175   0.000048
  0.941828  -0.000570
  0.951675  -0.001428
  0.960675  -0.002413
  0.968787  -0.003470
  0.976012  -0.004549
  0.982331  -0.005602
  0.987686  -0.006575
  0.992086  -0.007431
  0.995574  -0.008146
  0.998063  -0.008676
  0.999430  -0.008974
  1.000000  -0.009100
