                200   NumCoords         ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.25        0
! coordinates of airfoil shape; data from TU Delft as posted here: https://wind.nrel.gov/forum/wind/viewtopic.php?f=2&t=440
! NACA 64-618 (interpolated to 399 points)
!  x/c        y/c
  1.000000   0.012450
  0.991700   0.014600
  0.983390   0.016750
  0.975090   0.018880
  0.966780   0.021000
  0.958470   0.023100
  0.950160   0.025200
  0.941860   0.027300
  0.933560   0.029400
  0.925260   0.031510
  0.916970   0.033640
  0.908690   0.035780
  0.900420   0.037930
  0.892150   0.040090
  0.883880   0.042260
  0.875620   0.044430
  0.867360   0.046600
  0.859110   0.048780
  0.850860   0.050970
  0.842610   0.053150
  0.834370   0.055350
  0.826130   0.057540
  0.817890   0.059730
  0.809660   0.061930
  0.801430   0.064120
  0.793200   0.066300
  0.784970   0.068490
  0.776740   0.070670
  0.768520   0.072850
  0.760290   0.075030
  0.752070   0.077200
  0.743850   0.079370
  0.735620   0.081530
  0.727400   0.083690
  0.719180   0.085840
  0.710960   0.087980
  0.702730   0.090110
  0.694510   0.092230
  0.686290   0.094340
  0.678060   0.096440
  0.669830   0.098530
  0.661610   0.100620
  0.653380   0.102680
  0.645140   0.104740
  0.636910   0.106780
  0.628670   0.108810
  0.620440   0.110830
  0.612190   0.112830
  0.603950   0.114810
  0.595700   0.116780
  0.587450   0.118740
  0.579200   0.120670
  0.570940   0.122590
  0.562680   0.124490
  0.554410   0.126360
  0.546140   0.128220
  0.537870   0.130050
  0.529590   0.131870
  0.521300   0.133650
  0.513010   0.135420
  0.504710   0.137150
  0.496410   0.138860
  0.488130   0.140530
  0.479860   0.142180
  0.471590   0.143780
  0.463300   0.145360
  0.455010   0.146890
  0.446710   0.148380
  0.438400   0.149840
  0.430080   0.151240
  0.421760   0.152600
  0.413420   0.153920
  0.405070   0.155180
  0.396720   0.156390
