                  200   NumCoords         ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.25        0
! coordinates of airfoil shape; data from TU Delft as posted here: https://wind.nrel.gov/forum/wind/viewtopic.php?f=2&t=440
! NACA 64-618 (interpolated to 399 points)
!  x/c        y/c
  1.000000   0.012980
  0.999443   0.013259
  0.998120   0.013537
  0.995694   0.014255
  0.992305   0.015254
  0.988028   0.016511
  0.982815   0.018037
  0.976664   0.019828
  0.969641   0.021864
  0.961743   0.024141
  0.952973   0.026657
  0.943389   0.029394
  0.933013   0.032321
  0.921851   0.035461
  0.909955   0.038828
  0.897361   0.042419
  0.884085   0.046219
  0.870163   0.050211
  0.855653   0.054375
  0.840577   0.058712
  0.824975   0.063204
  0.808895   0.067832
  0.792362   0.072584
  0.775421   0.077445
  0.758125   0.082390
  0.740502   0.087405
  0.722592   0.092487
  0.704445   0.097591
  0.686088   0.102722
  0.667570   0.107848
  0.648927   0.112952
  0.630186   0.118031
  0.611401   0.123052
  0.592597   0.127988
  0.573808   0.132831
  0.555076   0.137554
  0.536418   0.142132
  0.517880   0.146556
  0.499481   0.150796
  0.481252   0.154834
  0.463222   0.158648
  0.445407   0.162214
  0.427843   0.165526
  0.410539   0.168561
  0.393525   0.171317
  0.376811   0.173764
  0.360420   0.175908
  0.344365   0.177737
  0.328658   0.179261
  0.313319   0.180457
  0.298348   0.181327
  0.283766   0.181878
  0.269567   0.182111
  0.255774   0.182039
  0.242378   0.181642
  0.229396   0.180940
  0.216817   0.179929
  0.204658   0.178623
  0.192908   0.177015
  0.181575   0.175114
  0.170658   0.172933
  0.160149   0.170489
  0.150055   0.167794
  0.140355   0.164855
  0.131068   0.161695
  0.122161   0.158332
  0.113659   0.154789
  0.105536   0.151079
  0.097791   0.147208
  0.090429   0.143189
  0.083416   0.139008
  0.076774   0.134724
  0.070469   0.130324
  0.064500   0.125817
  0.058882   0.121221
  0.053568   0.116532
  0.048576   0.111791
  0.043898   0.107002
  0.039495   0.102147
  0.035395   0.097293
  0.031576   0.092423
  0.028006   0.087512
  0.024716   0.082622
  0.021681   0.077746
  0.018863   0.072823
  0.016295   0.067930
  0.013966   0.063145
  0.011818   0.058394
  0.009884   0.053712
  0.008184   0.049301
  0.006631   0.044623
  0.005249   0.039552
  0.004083   0.034234
  0.003090   0.028127
  0.002191   0.021599
  0.001460   0.016560
  0.000963   0.012525
  0.000599   0.008620
  0.000290   0.004330
  0.000078   0.001165
  0.000000   0.000000
  0.000078  -0.001221
  0.000290  -0.004930
  0.000599  -0.010066
  0.000964  -0.014042
  0.001463  -0.018185
  0.002197  -0.023260
  0.003099  -0.028951
  0.004095  -0.034027
  0.005268  -0.038674
  0.006658  -0.043230
  0.008219  -0.047687
  0.009931  -0.051948
  0.011880  -0.056400
  0.014045  -0.060956
  0.016392  -0.065501
  0.018985  -0.070153
  0.021829  -0.074836
  0.024893  -0.079440
  0.028220  -0.084032
  0.031829  -0.088619
  0.035690  -0.093153
  0.039842  -0.097677
  0.044300  -0.102197
  0.049038  -0.106680
  0.054100  -0.111138
  0.059487  -0.115550
  0.065188  -0.119890
  0.071248  -0.124168
  0.077646  -0.128353
  0.084397  -0.132446
  0.091523  -0.136444
  0.099007  -0.140326
  0.106887  -0.144107
  0.115148  -0.147762
  0.123806  -0.151300
  0.132872  -0.154698
  0.142332  -0.157929
  0.152215  -0.160994
  0.162499  -0.163865
  0.173214  -0.166526
  0.184341  -0.168985
  0.195903  -0.171212
  0.207883  -0.173185
  0.220294  -0.174889
  0.233123  -0.176295
  0.246375  -0.177382
  0.260041  -0.178129
  0.274124  -0.178504
  0.288611  -0.178519
  0.303500  -0.178112
  0.318774  -0.177294
  0.334434  -0.176044
  0.350457  -0.174339
  0.366843  -0.172161
  0.383561  -0.169497
  0.400610  -0.166327
  0.417956  -0.162637
  0.435593  -0.158402
  0.453493  -0.153618
  0.471632  -0.148330
  0.489992  -0.142568
  0.508536  -0.136362
  0.527249  -0.129739
  0.546089  -0.122734
  0.565031  -0.115374
  0.584045  -0.107723
  0.603088  -0.099844
  0.622138  -0.091786
  0.641148  -0.083648
  0.660080  -0.075518
  0.678906  -0.067495
  0.697572  -0.059680
  0.716045  -0.052192
  0.734291  -0.045098
  0.752252  -0.038499
  0.769898  -0.032460
  0.787192  -0.027003
  0.804074  -0.022133
  0.820513  -0.017863
  0.836469  -0.014198
  0.851890  -0.011163
  0.866748  -0.008769
  0.881010  -0.006972
  0.894610  -0.005749
  0.907525  -0.005032
  0.919730  -0.004792
  0.931175  -0.004000
  0.941828  -0.003700
  0.951675  -0.003400
  0.960675  -0.003100
  0.968787  -0.002800
  0.976012  -0.002500
  0.982331  -0.002200
  0.987686  -0.001900
  0.992086  -0.001600
  0.995574  -0.001300
  0.998063  -0.001000
  0.999430  -0.001000
  1.000000  -0.001000
