            200   NumCoords         ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
0.316       0
! coordinates of airfoil shape
! cylinder (interpolated to 399 points)
!  x/c        y/c
  0.999443   0.010870
  0.998120   0.011745
  0.995694   0.013341
  0.992305   0.015549
  0.988028   0.018300
  0.982815   0.021606
  0.976664   0.025440
  0.969641   0.029739
  0.961743   0.034482
  0.952973   0.039649
  0.943389   0.045193
  0.933013   0.050916
  0.921851   0.057083
  0.909955   0.063581
  0.897361   0.070427
  0.884085   0.077347
  0.870163   0.084671
  0.855653   0.092180
  0.840577   0.099901
  0.824975   0.107566
  0.808895   0.115340
  0.792362   0.123144
  0.775421   0.131059
  0.758125   0.138808
  0.740502   0.146561
  0.722592   0.154144
  0.704445   0.161622
  0.686088   0.169076
  0.667570   0.176219
  0.648927   0.183092
  0.630186   0.189870
  0.611401   0.196250
  0.592597   0.202350
  0.573808   0.208316
  0.555076   0.213761
  0.536418   0.219027
  0.517880   0.223925
  0.499481   0.228358
  0.481252   0.232431
  0.463222   0.236029
  0.445407   0.239230
  0.427843   0.242067
  0.410539   0.244395
  0.393525   0.246329
  0.376811   0.247812
  0.360420   0.249076
  0.344365   0.249618
  0.328658   0.250000
  0.313319   0.249915
  0.298348   0.249404
  0.283766   0.248440
  0.269567   0.247234
  0.255774   0.245559
  0.242378   0.243584
  0.229396   0.241248
  0.216817   0.238604
  0.204658   0.235660
  0.192908   0.232432
  0.181575   0.228840
  0.170658   0.224967
  0.160149   0.220832
  0.150055   0.216496
  0.140355   0.211979
  0.131068   0.207228
  0.122161   0.202323
  0.113659   0.197174
  0.105536   0.192037
  0.097791   0.186559
  0.090429   0.181093
  0.083416   0.175459
  0.076774   0.169682
  0.070469   0.163786
  0.064500   0.157765
  0.058882   0.151699
  0.053568   0.145565
  0.048576   0.139486
  0.043898   0.133338
  0.039495   0.127050
  0.035395   0.120866
  0.031576   0.114690
  0.028006   0.108492
  0.024716   0.102225
  0.021681   0.095893
  0.018863   0.089807
  0.016295   0.083748
  0.013966   0.077738
  0.011818   0.071879
  0.009884   0.066010
  0.008184   0.060189
  0.006631   0.053909
  0.005249   0.047327
  0.004083   0.040149
  0.003090   0.033726
  0.002191   0.025910
  0.001460   0.020032
  0.000963   0.014812
  0.000599   0.010964
  0.000290   0.005154
  0.000078   0.002378
  0.000000   0.000000
  0.000078  -0.006763
  0.000290  -0.009270
  0.000599  -0.014853
  0.000964  -0.019098
  0.001463  -0.024252
  0.002197  -0.030280
  0.003099  -0.037492
  0.004095  -0.043397
  0.005268  -0.049743
  0.006658  -0.055936
  0.008219  -0.061913
  0.009931  -0.067583
  0.011880  -0.073402
  0.014045  -0.079132
  0.016392  -0.084982
  0.018985  -0.090992
  0.021829  -0.096921
  0.024893  -0.103030
  0.028220  -0.109154
  0.031829  -0.115311
  0.035690  -0.121138
  0.039842  -0.127147
  0.044300  -0.133199
  0.049038  -0.138980
  0.054100  -0.144850
  0.059487  -0.150675
  0.065188  -0.156488
  0.071248  -0.162318
  0.077646  -0.167951
  0.084397  -0.173555
  0.091523  -0.179048
  0.099007  -0.184361
  0.106887  -0.189648
  0.115148  -0.194670
  0.123806  -0.199677
  0.132872  -0.204486
  0.142332  -0.209113
  0.152215  -0.213565
  0.162499  -0.217905
  0.173214  -0.221899
  0.184341  -0.225850
  0.195903  -0.229428
  0.207883  -0.232825
  0.220294  -0.235942
  0.233123  -0.238678
  0.246375  -0.241276
  0.260041  -0.243429
  0.274124  -0.245365
  0.288611  -0.246688
  0.303500  -0.247752
  0.318774  -0.248407
  0.334434  -0.248700
  0.350457  -0.248315
  0.366843  -0.247642
  0.383561  -0.246395
  0.400610  -0.244546
  0.417956  -0.242218
  0.435593  -0.239365
  0.453493  -0.235936
  0.471632  -0.231738
  0.489992  -0.227148
  0.508536  -0.221774
  0.527249  -0.215936
  0.546089  -0.209513
  0.565031  -0.202426
  0.584045  -0.194844
  0.603088  -0.186809
  0.622138  -0.178307
  0.641148  -0.169370
  0.660080  -0.160061
  0.678906  -0.150313
  0.697572  -0.140494
  0.716045  -0.130450
  0.734291  -0.120286
  0.752252  -0.110205
  0.769898  -0.100388
  0.787192  -0.090731
  0.804074  -0.081406
  0.820513  -0.072716
  0.836469  -0.064445
  0.851890  -0.056665
  0.866748  -0.049540
  0.881010  -0.042991
  0.894610  -0.037131
  0.907525  -0.031979
  0.919730  -0.027475
  0.931175  -0.023702
  0.941828  -0.020375
  0.951675  -0.017994
  0.960675  -0.015930
  0.968787  -0.014214
  0.976012  -0.012838
  0.982331  -0.011777
  0.987686  -0.010999
  0.992086  -0.010451
  0.995574  -0.010082
  0.998063  -0.009855
  0.999430  -0.009743
